Beaulieu;63031;;8,65;461 (2017);53;CA Agglo Pays d'Issoire;
Bergonne;63036;Bergougnoux;5,75;339 (2017);59;CA Agglo Pays d'Issoire;
Boudes;63046;Boudigans;7,92;287 (2017);36;CA Agglo Pays d'Issoire;
Brassac-les-Mines;63050;Brassacois;7,2;3 311 (2017);460;CA Agglo Pays d'Issoire;
Brenat;63051;Brenatois;8,83;622 (2017);70;CA Agglo Pays d'Issoire;
Le Breuil-sur-Couze;63052;Breuillois;5,94;1 046 (2017);176;CA Agglo Pays d'Issoire;
Le Broc;63054;;17,45;679 (2017);39;CA Agglo Pays d'Issoire;
Chadeleuf;63073;Chadeleufois;5,7;428 (2017);75;CA Agglo Pays d'Issoire;
Chalus;63074;Chalusiens;6,58;178 (2017);27;CA Agglo Pays d'Issoire;
Champagnat-le-Jeune;63079;;9,39;149 (2017);16;CA Agglo Pays d'Issoire;
Champeix;63080;Champillauds;12,12;1 360 (2017);112;CA Agglo Pays d'Issoire;
La Chapelle-Marcousse;63087;;19,72;63 (2017);3,2;CA Agglo Pays d'Issoire;
La Chapelle-sur-Usson;63088;;6,78;74 (2017);11;CA Agglo Pays d'Issoire;
Charbonnier-les-Mines;63091;Charbonniers;3,36;898 (2017);267;CA Agglo Pays d'Issoire;
Chassagne;63097;;16,06;73 (2017);4,5;CA Agglo Pays d'Issoire;
Chidrac;63109;Chidracois;3,57;523 (2017);146;CA Agglo Pays d'Issoire;
Clémensat;63111;Clémensatois;3,21;118 (2017);37;CA Agglo Pays d'Issoire;
Collanges;63114;Collangeois;4,45;158 (2017);36;CA Agglo Pays d'Issoire;
Coudes;63121;Coudois;4,66;1 249 (2017);268;CA Agglo Pays d'Issoire;
Courgoul;63122;Courgoulois;8,44;66 (2017);7,8;CA Agglo Pays d'Issoire;
Dauzat-sur-Vodable;63134;;14,99;80 (2017);5,3;CA Agglo Pays d'Issoire;
Égliseneuve-des-Liards;63145;;8,35;143 (2017);17;CA Agglo Pays d'Issoire;
Esteil;63156;Esteillois;4,55;63 (2017);14;CA Agglo Pays d'Issoire;
Gignat;63166;Gignatois;3,49;239 (2017);68;CA Agglo Pays d'Issoire;
Grandeyrolles;63172;Grandeyrollais;5,28;53 (2017);10;CA Agglo Pays d'Issoire;
Jumeaux;63182;Jumeaudois;7,13;635 (2017);89;CA Agglo Pays d'Issoire;
Lamontgie;63185;Lamontgeois;7,09;649 (2017);92;CA Agglo Pays d'Issoire;
Ludesse;63199;Ludessois;8,47;489 (2017);58;CA Agglo Pays d'Issoire;
Madriat;63202;Madriatois;4,69;109 (2017);23;CA Agglo Pays d'Issoire;
Mareugheol;63209;Mareugheolois;7,54;198 (2017);26;CA Agglo Pays d'Issoire;
Mazoires;63220;;42,19;98 (2017);2,3;CA Agglo Pays d'Issoire;
Meilhaud;63222;Meilhaudois;4,47;496 (2017);111;CA Agglo Pays d'Issoire;
Montaigut-le-Blanc;63234;;22,26;864 (2017);39;CA Agglo Pays d'Issoire;
Montpeyroux;63241;;3,29;335 (2017);102;CA Agglo Pays d'Issoire;
Moriat;63242;Moriatois;10,81;366 (2017);34;CA Agglo Pays d'Issoire;
Neschers;63250;Neschersois;9,78;834 (2017);85;CA Agglo Pays d'Issoire;
Nonette-Orsonnette;63255;;10,65;575 (2017);54;CA Agglo Pays d'Issoire;
Orbeil;63261;Orbeillois;9,65;841 (2017);87;CA Agglo Pays d'Issoire;
Pardines;63268;Pardinois;5,18;279 (2017);54;CA Agglo Pays d'Issoire;
Parent;63269;Parentais;3,76;859 (2017);228;CA Agglo Pays d'Issoire;
Parentignat;63270;;3,71;523 (2017);141;CA Agglo Pays d'Issoire;
Perrier;63275;Perriérois;6,37;888 (2017);139;CA Agglo Pays d'Issoire;
Peslières;63277;Pesliérois;6,86;66 (2017);9,6;CA Agglo Pays d'Issoire;
Plauzat;63282;Plauzatois;13,01;1 667 (2017);128;CA Agglo Pays d'Issoire;
Les Pradeaux;63287;Pradelais;5,54;337 (2017);61;CA Agglo Pays d'Issoire;
Rentières;63299;;15,59;113 (2017);7,2;CA Agglo Pays d'Issoire;
Roche-Charles-la-Mayrand;63303;;16,22;40 (2017);2,5;CA Agglo Pays d'Issoire;
Saint-Alyre-ès-Montagne;63313;;41,07;126 (2017);3,1;CA Agglo Pays d'Issoire;
Saint-Babel;63321;Saint-Babelois;19,31;944 (2017);49;CA Agglo Pays d'Issoire;
